iso2,population_millions,split_admin1,affluence
US,340.0,True,1.0
FR,68.4,True,1.0
CN,1408.0,True,0.35
DE,83.5,True,1.0
GB,68.3,True,1.0
JP,123.8,True,1.0
BE,11.8,True,1.0
NL,17.9,True,1.0
KR,51.7,False,1.0
ES,48.6,True,1.0
AU,27.2,True,1.0
DK,5.96,False,1.0
CA,41.3,True,1.0
IT,59.0,True,1.0
SE,10.5,False,1.0
HK,7.5,False,1.0
AT,9.16,True,1.0
BR,212.0,True,0.35
PL,36.6,True,0.6
MY,34.0,False,0.35
MX,130.0,False,0.35
SA,35.0,False,0.6
IE,5.3,False,1.0
CH,9.0,False,1.0
NO,5.55,False,1.0
FI,5.6,False,1.0
CZ,10.9,False,1.0
SK,5.4,False,0.6
PT,10.6,False,1.0
LU,0.67,False,1.0
IN,1450.0,False,0.06
AE,11.0,False,1.0
SG,6.0,False,1.0
ID,281.0,False,0.15
TH,66.0,False,0.35
NZ,5.3,False,1.0
AR,46.0,False,0.35
UY,3.5,False,0.35
RU,146.0,False,0.35
TR,85.0,False,0.35
RO,19.0,False,0.35
HU,9.6,False,0.6
TW,23.4,False,0.6
PH,115.0,False,0.15
VN,100.0,False,0.15
MO,0.69,False,0.6
HR,3.85,False,0.6
SI,2.1,False,1.0
GR,10.4,False,0.6
IL,9.8,False,1.0
QA,3.0,False,1.0
KW,4.9,False,1.0
BH,1.6,False,1.0
ZA,63.0,False,0.35
CL,19.8,False,0.35
CO,52.0,False,0.35
PE,34.0,False,0.35
LT,2.9,False,0.6
LV,1.9,False,0.6
EE,1.37,False,0.6
BG,6.4,False,0.35
UA,38.0,False,0.15
RS,6.6,False,0.35
KZ,20.0,False,0.35
IS,0.39,False,1.0
CY,1.3,False,1.0
MT,0.53,False,1.0
JO,11.3,False,0.15
EG,116.0,False,0.15
