region_code,population_thousands
AT-1,300.0
AT-2,565.0
AT-3,1700.0
AT-4,1530.0
AT-5,570.0
AT-6,1250.0
AT-7,770.0
AT-8,410.0
AT-9,2000.0
AU-ACT,470.0
AU-NSW,8340.0
AU-NT,250.0
AU-QLD,5510.0
AU-SA,1840.0
AU-TAS,570.0
AU-VIC,6810.0
AU-WA,2900.0
BE-BRU,1230.0
BE-VLG,6700.0
BE-WAL,3680.0
BR-AC,830.0
BR-AL,3130.0
BR-AM,3940.0
BR-AP,730.0
BR-BA,14140.0
BR-CE,8790.0
BR-DF,2820.0
BR-ES,3830.0
BR-GO,7060.0
BR-MA,6780.0
BR-MG,20540.0
BR-MS,2760.0
BR-MT,3660.0
BR-PA,8120.0
BR-PB,3970.0
BR-PE,9060.0
BR-PI,3270.0
BR-PR,11440.0
BR-RJ,16060.0
BR-RN,3300.0
BR-RO,1580.0
BR-RR,640.0
BR-RS,10880.0
BR-SC,7610.0
BR-SE,2210.0
BR-SP,44420.0
BR-TO,1500.0
CA-AB,4890.0
CA-BC,5700.0
CA-MB,1470.0
CA-NB,840.0
CA-NL,545.0
CA-NS,1060.0
CA-NT,45.0
CA-NU,41.0
CA-ON,16125.0
CA-PE,175.0
CA-QC,9057.0
CA-SK,1230.0
CA-YT,46.0
CN-AH,61200.0
CN-BJ,21900.0
CN-CQ,32100.0
CN-FJ,41900.0
CN-GD,126900.0
CN-GS,24500.0
CN-GX,50300.0
CN-GZ,38600.0
CN-HA,98100.0
CN-HB,58400.0
CN-HE,74600.0
CN-HI,10400.0
CN-HL,30000.0
CN-HN,65700.0
CN-JL,23400.0
CN-JS,85100.0
CN-JX,45300.0
CN-LN,42600.0
CN-NM,24000.0
CN-NX,7300.0
CN-QH,5900.0
CN-SC,83700.0
CN-SD,101500.0
CN-SH,24800.0
CN-SN,39500.0
CN-SX,34600.0
CN-TJ,13700.0
CN-XJ,25900.0
CN-XZ,3650.0
CN-YN,46600.0
CN-ZJ,66300.0
DE-BB,2570.0
DE-BE,3780.0
DE-BW,11280.0
DE-BY,13370.0
DE-HB,720.0
DE-HE,6390.0
DE-HH,1890.0
DE-MV,1570.0
DE-NI,8140.0
DE-NW,18140.0
DE-RP,4160.0
DE-SH,2950.0
DE-SL,990.0
DE-SN,4090.0
DE-ST,2150.0
DE-TH,2110.0
ES-AN,8580.0
ES-AR,1350.0
ES-AS,1010.0
ES-CB,590.0
ES-CE,85.0
ES-CL,2390.0
ES-CM,2100.0
ES-CN,2240.0
ES-CT,8000.0
ES-EX,1050.0
ES-GA,2700.0
ES-IB,1220.0
ES-MC,1550.0
ES-MD,7000.0
ES-ML,86.0
ES-NC,670.0
ES-PV,2220.0
ES-RI,320.0
ES-VC,5300.0
FR-ARA,8160.0
FR-BFC,2800.0
FR-BRE,3400.0
FR-COR,350.0
FR-CVL,2570.0
FR-GES,5560.0
FR-HDF,6000.0
FR-IDF,12400.0
FR-NAQ,6100.0
FR-NOR,3300.0
FR-OCC,6000.0
FR-PAC,5200.0
FR-PDL,3900.0
GB-ENG,57700.0
GB-NIR,1900.0
GB-SCT,5500.0
GB-WLS,3200.0
IT-21,4250.0
IT-23,123.0
IT-25,10000.0
IT-32,1080.0
IT-34,4850.0
IT-36,1200.0
IT-42,1500.0
IT-45,4470.0
IT-52,3660.0
IT-55,860.0
IT-57,1480.0
IT-62,5720.0
IT-65,1270.0
IT-67,290.0
IT-72,5600.0
IT-75,3900.0
IT-77,540.0
IT-78,1830.0
IT-82,4800.0
IT-88,1580.0
JP-01,5140.0
JP-02,1190.0
JP-03,1180.0
JP-04,2260.0
JP-05,930.0
JP-06,1030.0
JP-07,1780.0
JP-08,2840.0
JP-09,1900.0
JP-10,1900.0
JP-11,7330.0
JP-12,6270.0
JP-13,14100.0
JP-14,9230.0
JP-15,2150.0
JP-16,1020.0
JP-17,1110.0
JP-18,750.0
JP-19,800.0
JP-20,2000.0
JP-21,1950.0
JP-22,3600.0
JP-23,7460.0
JP-24,1750.0
JP-25,1410.0
JP-26,2500.0
JP-27,8770.0
JP-28,5400.0
JP-29,1300.0
JP-30,900.0
JP-31,540.0
JP-32,650.0
JP-33,1840.0
JP-34,2730.0
JP-35,1300.0
JP-36,690.0
JP-37,930.0
JP-38,1300.0
JP-39,670.0
JP-40,5100.0
JP-41,800.0
JP-42,1300.0
JP-43,1730.0
JP-44,1090.0
JP-45,1050.0
JP-46,1560.0
JP-47,1470.0
NL-DR,500.0
NL-FL,440.0
NL-FR,660.0
NL-GE,2110.0
NL-GR,590.0
NL-LI,1120.0
NL-NB,2620.0
NL-NH,2950.0
NL-OV,1170.0
NL-UT,1400.0
NL-ZE,385.0
NL-ZH,3900.0
PL-DS,2890.0
PL-KP,2010.0
PL-LB,1000.0
PL-LD,2340.0
PL-LU,2000.0
PL-MA,3430.0
PL-MZ,5500.0
PL-OP,940.0
PL-PD,1150.0
PL-PK,2090.0
PL-PM,2360.0
PL-SK,1200.0
PL-SL,4400.0
PL-WN,1370.0
PL-WP,3500.0
PL-ZP,1650.0
US-AK,733.0
US-AL,5108.0
US-AR,3068.0
US-AZ,7431.0
US-CA,38966.0
US-CO,5878.0
US-CT,3617.0
US-DC,679.0
US-DE,1032.0
US-FL,22610.0
US-GA,11029.0
US-HI,1435.0
US-IA,3207.0
US-ID,1964.0
US-IL,12550.0
US-IN,6862.0
US-KS,2940.0
US-KY,4526.0
US-LA,4574.0
US-MA,7001.0
US-MD,6180.0
US-ME,1395.0
US-MI,10037.0
US-MN,5738.0
US-MO,6196.0
US-MS,2940.0
US-MT,1133.0
US-NC,10836.0
US-ND,784.0
US-NE,1978.0
US-NH,1402.0
US-NJ,9290.0
US-NM,2114.0
US-NV,3194.0
US-NY,19572.0
US-OH,11786.0
US-OK,4054.0
US-OR,4233.0
US-PA,12961.0
US-RI,1096.0
US-SC,5374.0
US-SD,919.0
US-TN,7126.0
US-TX,30503.0
US-UT,3418.0
US-VA,8715.0
US-VT,647.0
US-WA,7812.0
US-WI,5910.0
US-WV,1770.0
US-WY,584.0
